,0,LPS,chitin,elf,flg,nlp,OGs,pep
137,AT1G06550,0,0,0,1,0,0,0
138,AT1G06570,0,0,0,1,1,0,1
139,AT1G06620,0,0,1,1,0,0,1
140,AT1G06760,0,0,0,1,0,0,0
141,AT1G06770,0,0,0,1,0,0,0
142,AT1G06800,0,0,1,1,1,0,1
143,AT1G06830,0,0,1,1,0,1,1
144,AT1G06840,0,1,1,1,0,0,1
145,AT1G06970,0,0,1,1,0,0,0
146,AT1G07000,1,1,1,1,1,1,1
147,AT1G07020,0,0,1,1,0,1,1
148,AT1G07030,0,0,0,1,0,0,0
149,AT1G07060,0,0,0,1,1,0,0
150,AT1G07128,0,0,1,1,1,1,1
151,AT1G07130,0,0,0,1,1,1,1
152,AT1G07135,1,1,1,1,1,1,1
153,AT1G07150,0,0,1,1,0,0,0
154,AT1G07160,1,1,1,1,1,1,1
155,AT1G07170,0,0,0,1,0,0,0
156,AT1G07175,0,0,0,1,0,1,0
157,AT1G07220,0,0,1,1,0,1,0
158,AT1G07230,0,0,0,1,0,0,0
159,AT1G07240,0,0,1,1,1,1,1
160,AT1G07310,0,0,0,1,0,0,0
161,AT1G07400,0,0,1,1,1,1,1
162,AT1G07430,0,0,0,1,0,0,0
163,AT1G07473,0,0,0,1,0,0,0
164,AT1G07500,0,0,0,1,1,1,1
165,AT1G07520,1,1,1,1,1,1,1
166,AT1G07570,0,0,1,1,0,0,0
167,AT1G07620,1,0,1,1,1,1,1
168,AT1G07630,0,0,1,1,1,1,1
169,AT1G07650,0,1,1,1,1,1,1
170,AT1G07660,0,0,1,1,0,0,0
171,AT1G07670,0,0,1,1,0,0,1
172,AT1G07885,0,0,1,1,1,1,1
173,AT1G07890,0,0,1,1,1,0,0
174,AT1G07900,0,1,1,1,1,1,1
175,AT1G07985,0,0,0,1,0,0,0
176,AT1G07990,0,0,0,1,0,0,0
177,AT1G08050,1,1,1,1,1,1,1
178,AT1G08250,0,0,1,1,1,1,1
179,AT1G08290,0,0,0,0,0,0,1
180,AT1G08310,0,0,0,1,0,0,0
181,AT1G08315,0,0,1,1,1,1,1
182,AT1G08320,0,0,0,1,0,0,0
183,AT1G08350,0,0,0,1,0,0,0
184,AT1G08450,1,1,1,1,1,1,1
185,AT1G08570,0,0,0,1,0,0,0
186,AT1G08630,1,0,1,1,1,1,1
187,AT1G08650,0,0,0,0,1,0,0
188,AT1G08670,0,0,0,1,0,0,0
189,AT1G08720,0,0,0,1,0,1,0
190,AT1G08800,0,0,0,1,0,0,0
191,AT1G08820,0,0,0,1,1,0,0
192,AT1G08830,0,0,1,1,1,1,1
193,AT1G08860,0,1,1,1,1,1,1
194,AT1G08900,0,0,0,1,1,0,0
195,AT1G08920,0,0,0,0,0,0,1
196,AT1G08930,1,1,1,1,1,1,1
197,AT1G08940,0,0,1,1,1,1,1
198,AT1G09060,0,0,1,1,0,1,1
199,AT1G09070,1,1,1,1,1,1,1
200,AT1G09080,1,0,1,1,1,1,1
201,AT1G09180,0,0,1,1,1,0,1
202,AT1G09195,0,0,1,1,0,0,0
203,AT1G09210,0,0,1,1,1,1,1
204,AT1G09330,0,0,0,1,0,0,0
205,AT1G09430,0,0,1,1,0,0,0
206,AT1G09460,0,0,0,1,0,0,0
207,AT1G09480,0,0,0,1,1,0,0
208,AT1G09483,0,0,0,0,0,0,1
209,AT1G09490,0,0,0,1,0,0,0
210,AT1G09500,0,0,0,1,0,1,0
211,AT1G09560,1,0,1,1,1,1,1
212,AT1G09575,0,0,1,1,1,1,1
213,AT1G09630,0,0,1,1,1,0,1
214,AT1G09645,0,0,1,1,0,0,0
215,AT1G09740,0,0,0,1,0,0,0
216,AT1G09794,0,0,0,1,0,0,1
217,AT1G09815,0,0,0,1,0,0,0
218,AT1G09930,0,1,1,1,1,1,1
219,AT1G09932,1,1,1,1,1,1,1
220,AT1G09940,1,1,1,1,1,1,1
221,AT1G09950,1,1,1,1,1,1,1
222,AT1G09970,1,1,1,1,1,1,1
223,AT1G10040,0,0,1,1,1,1,1
224,AT1G10050,0,1,1,1,1,1,1
225,AT1G10070,0,0,0,1,1,1,1
226,AT1G10140,0,0,1,1,1,1,1
227,AT1G10150,0,0,0,1,0,0,0
228,AT1G10170,0,0,0,1,0,0,0
229,AT1G10250,0,0,0,0,0,0,1
230,AT1G10280,0,0,0,1,0,0,0
231,AT1G10290,0,0,0,1,0,0,0
232,AT1G10340,1,1,1,1,1,1,1
233,AT1G10370,0,0,1,1,0,1,1
234,AT1G10410,0,0,1,1,1,1,1
235,AT1G10417,1,0,1,1,1,1,1
236,AT1G10480,0,0,0,0,0,0,1
237,AT1G10560,0,0,1,1,1,1,1
238,AT1G10580,0,0,0,1,1,0,1
239,AT1G10585,1,0,1,1,1,1,1
240,AT1G10586,0,0,0,1,0,0,0
241,AT1G10650,0,0,0,1,0,1,0
242,AT1G10690,0,0,0,1,0,0,1
243,AT1G10700,0,0,1,1,1,1,1
244,AT1G10720,0,0,0,1,0,0,0
245,AT1G10740,0,0,0,1,1,0,0
246,AT1G10800,0,0,0,0,0,1,0
247,AT1G10865,0,0,0,1,0,0,0
248,AT1G10900,0,0,1,1,0,0,0
249,AT1G10920,0,0,1,1,0,0,0
250,AT1G10990,0,0,0,1,1,0,1
251,AT1G11000,0,0,0,1,1,0,1
252,AT1G11050,1,1,1,1,1,1,1
253,AT1G11080,0,0,0,1,0,0,0
254,AT1G11100,0,0,1,1,1,1,1
255,AT1G11170,0,0,1,0,0,0,0
256,AT1G11185,0,0,1,1,0,1,1
257,AT1G11200,0,1,1,1,1,1,1
258,AT1G11210,0,0,0,0,0,1,0
259,AT1G11260,0,1,1,1,0,1,1
260,AT1G11300,0,1,1,1,1,0,1
261,AT1G11310,1,1,1,1,1,1,1
262,AT1G11330,0,0,0,0,0,0,1
263,AT1G11362,0,0,1,1,1,1,1
264,AT1G11370,0,0,0,1,0,0,0
265,AT1G11400,0,0,0,1,0,0,0
266,AT1G11530,0,0,0,1,0,0,0
267,AT1G11540,0,0,1,1,0,0,0
268,AT1G11670,0,0,0,0,0,1,1
269,AT1G11890,0,0,1,1,0,0,0
270,AT1G11905,0,0,1,1,1,0,0
271,AT1G11925,0,0,1,1,0,1,1
272,AT1G11960,0,0,1,1,0,1,1
273,AT1G12010,0,0,0,1,0,0,0
274,AT1G12030,0,0,1,1,1,1,1
275,AT1G12180,0,0,1,0,0,0,0
276,AT1G12200,0,0,0,1,1,0,1
277,AT1G12210,0,0,0,1,1,0,0
278,AT1G12220,0,0,0,0,1,0,0
279,AT1G12290,0,0,0,1,0,0,0
280,AT1G12360,0,0,1,1,1,1,1
281,AT1G12420,0,0,1,1,1,0,0
282,AT1G12520,0,0,0,1,0,0,0
283,AT1G12580,0,1,1,1,1,1,1
284,AT1G12640,0,0,0,1,1,0,0
285,AT1G12750,0,0,0,0,0,0,1
286,AT1G12760,0,0,1,1,1,0,1
287,AT1G12790,0,0,0,1,0,0,0
288,AT1G12870,0,0,0,0,0,0,1
289,AT1G12940,1,1,1,1,0,1,0
290,AT1G12970,0,0,0,1,0,0,0
291,AT1G12980,0,0,0,1,0,0,0
292,AT1G13000,0,0,1,1,1,0,1
293,AT1G13080,0,1,1,1,0,0,0
294,AT1G13100,0,0,1,1,0,0,0
295,AT1G13110,1,1,1,1,1,1,1
296,AT1G13180,0,0,0,1,0,0,0
297,AT1G13195,0,0,0,1,0,0,0
298,AT1G13210,1,1,1,1,1,1,1
299,AT1G13245,0,0,1,1,0,0,0
300,AT1G13260,0,0,1,1,0,1,1
301,AT1G13300,0,0,1,1,0,0,0
302,AT1G13310,0,0,0,1,0,0,0
303,AT1G13340,1,1,1,1,1,1,1
304,AT1G13360,0,0,1,1,1,0,0
305,AT1G13390,0,0,1,1,0,0,0
306,AT1G13450,0,0,0,1,0,0,0
307,AT1G13470,1,1,1,1,1,1,1
308,AT1G13480,0,0,0,1,0,0,0
309,AT1G13500,0,0,0,1,0,0,0
310,AT1G13510,0,0,0,1,0,0,1
311,AT1G13520,1,1,1,1,1,1,1
312,AT1G13530,1,1,1,1,0,1,1
313,AT1G13540,1,0,1,1,1,1,1
314,AT1G13550,1,1,1,1,1,1,1
315,AT1G13570,0,0,0,1,0,0,0
316,AT1G13580,0,0,1,1,0,0,0
317,AT1G13590,0,0,0,1,0,0,0
318,AT1G13700,0,0,1,0,0,0,0
319,AT1G13830,0,0,1,0,0,0,0
320,AT1G13960,0,0,1,1,0,0,0
321,AT1G13990,0,0,1,1,1,1,1
322,AT1G14000,0,0,1,1,0,0,0
323,AT1G14010,0,0,1,1,0,0,0
324,AT1G14040,0,0,1,1,1,1,1
325,AT1G14170,0,0,1,1,1,0,1
326,AT1G14200,0,0,1,1,1,1,1
327,AT1G14220,0,0,0,0,0,0,1
328,AT1G14250,0,0,0,1,0,0,0
329,AT1G14260,0,0,1,1,1,1,1
330,AT1G14330,0,0,1,1,1,1,1
331,AT1G14360,0,0,1,1,1,1,1
332,AT1G14370,1,1,1,1,1,1,1
333,AT1G14420,0,0,0,0,1,0,0
334,AT1G14455,0,0,0,1,1,0,0
335,AT1G14480,0,1,1,1,1,1,1
336,AT1G14530,0,0,0,1,0,1,0
337,AT1G14540,1,1,1,1,1,1,1
338,AT1G14550,1,1,1,1,1,1,1
339,AT1G14560,0,0,1,0,0,0,0
340,AT1G14630,0,0,1,0,0,0,0
341,AT1G14640,0,0,1,1,1,1,1
342,AT1G14642,0,0,1,1,1,0,1
343,AT1G14650,0,0,0,1,0,0,0
344,AT1G14730,0,0,1,1,1,0,0
345,AT1G14740,0,1,1,1,1,1,1
346,AT1G14750,0,0,1,0,0,0,1
347,AT1G14780,1,1,1,1,1,1,1
348,AT1G14860,0,0,0,1,0,0,0
349,AT1G14870,1,1,1,1,1,1,1
350,AT1G14880,0,0,0,0,1,0,0
351,AT1G15010,0,0,1,1,1,1,1
352,AT1G15030,0,0,1,1,1,0,1
353,AT1G15040,0,0,1,1,1,1,1
354,AT1G15050,0,0,0,1,0,0,0
355,AT1G15125,0,0,0,1,1,0,1
356,AT1G15130,0,0,0,1,0,0,0
357,AT1G15190,0,0,1,1,1,1,1
358,AT1G15330,0,0,1,1,0,0,1
359,AT1G15350,0,0,0,1,1,0,0
360,AT1G15370,0,0,0,1,0,0,0
361,AT1G15380,0,0,0,1,0,0,0
362,AT1G15385,0,0,0,1,0,0,1
363,AT1G15400,0,0,0,1,1,0,0
364,AT1G15415,1,0,1,1,1,1,1
365,AT1G15430,0,0,1,1,1,1,1
366,AT1G15520,1,1,1,1,1,1,1
367,AT1G15530,0,1,1,1,1,1,1
368,AT1G15540,0,0,0,1,1,0,1
369,AT1G15580,0,0,1,0,1,1,1
370,AT1G15640,0,0,0,1,0,0,1
371,AT1G15670,0,0,1,1,1,0,0
372,AT1G15790,0,0,0,1,0,0,0
373,AT1G15800,0,0,1,1,1,1,1
374,AT1G15880,0,0,1,1,0,1,1
375,AT1G15885,0,0,1,1,0,0,1
376,AT1G15890,1,1,1,1,1,1,1
377,AT1G15900,0,0,1,1,0,1,1
378,AT1G15920,0,0,0,1,0,0,0
379,AT1G15950,0,0,1,1,0,0,1
380,AT1G16090,1,1,1,1,1,1,1
381,AT1G16110,1,1,1,1,1,1,1
382,AT1G16120,1,1,1,1,1,1,1
383,AT1G16130,1,1,1,1,1,1,1
384,AT1G16140,0,1,1,1,1,1,1
385,AT1G16150,1,1,1,1,1,1,1
386,AT1G16160,1,1,1,1,1,1,1
387,AT1G16220,0,0,0,0,0,0,1
388,AT1G16240,0,0,0,1,0,0,0
389,AT1G16260,0,1,1,1,1,1,1
390,AT1G16300,0,0,0,1,0,0,1
391,AT1G16370,0,0,0,0,0,0,1
392,AT1G16420,1,1,1,1,1,1,1
393,AT1G16480,0,0,0,1,0,0,1
394,AT1G16540,0,0,1,1,1,0,0
395,AT1G16640,0,1,1,1,1,1,1
396,AT1G16670,1,1,1,1,1,1,1
397,AT1G16840,0,0,0,1,0,0,0
398,AT1G16890,0,0,0,1,0,0,0
399,AT1G16930,0,0,1,0,0,0,0
400,AT1G17060,0,0,1,1,1,0,1
401,AT1G17070,0,0,0,1,0,0,0
402,AT1G17080,0,0,0,1,0,0,0
403,AT1G17147,1,1,1,1,1,1,1
404,AT1G17170,0,0,0,1,1,1,1
405,AT1G17180,0,0,0,1,0,0,1
406,AT1G17230,0,0,1,1,0,0,0
407,AT1G17240,1,1,1,1,1,1,1
408,AT1G17290,0,0,1,1,1,1,1
409,AT1G17330,0,0,1,1,1,1,1
410,AT1G17340,0,0,1,1,0,1,0
411,AT1G17380,1,1,1,1,1,1,1
412,AT1G17420,1,1,1,1,1,1,1
413,AT1G17600,0,0,1,1,1,0,1
414,AT1G17610,0,1,1,1,1,0,1
415,AT1G17710,0,1,1,1,1,1,1
416,AT1G17730,0,0,0,1,0,0,0
417,AT1G17745,1,0,0,1,1,0,1
418,AT1G17750,0,1,1,1,1,1,1
419,AT1G17810,0,0,0,1,0,0,0
420,AT1G17830,0,1,0,0,0,1,0
421,AT1G17860,0,0,1,1,1,1,1
422,AT1G17890,0,0,0,1,0,0,0
423,AT1G17980,0,0,1,1,0,0,0
424,AT1G17990,1,1,1,1,1,1,1
425,AT1G18020,1,1,1,1,1,1,1
426,AT1G18075,0,0,0,0,0,1,0
427,AT1G18140,0,0,0,0,0,0,1
428,AT1G18160,0,0,0,1,1,0,0
429,AT1G18200,0,0,1,1,1,1,0
430,AT1G18210,0,0,1,1,1,1,1
431,AT1G18260,0,0,1,1,1,0,1
432,AT1G18290,0,0,1,1,1,1,1
433,AT1G18300,1,1,1,1,1,1,1
434,AT1G18350,0,1,0,0,0,0,1
435,AT1G18382,0,0,1,1,0,1,1
436,AT1G18390,1,1,1,1,1,1,1
437,AT1G18480,0,0,0,1,0,0,0
438,AT1G18570,1,1,1,1,1,1,1
439,AT1G18590,0,0,1,1,1,1,1
440,AT1G18740,0,1,1,1,1,1,1
441,AT1G18830,0,0,0,1,1,1,1
442,AT1G18835,0,0,0,1,0,1,1
443,AT1G18860,0,0,1,1,0,0,1
444,AT1G18890,1,0,1,1,1,1,1
445,AT1G18900,0,0,1,1,1,1,1
446,AT1G18940,0,0,1,1,0,1,0
447,AT1G18970,0,0,0,1,0,1,1
448,AT1G18980,0,0,0,1,0,0,0
449,AT1G19010,0,0,1,1,0,1,0
450,AT1G19020,1,1,1,1,1,1,1
451,AT1G19025,0,0,0,1,0,0,0
452,AT1G19050,0,1,1,0,1,0,0
453,AT1G19130,0,0,0,1,1,0,0
454,AT1G19180,1,1,1,1,1,1,1
455,AT1G19190,1,0,0,1,1,0,1
456,AT1G19210,0,0,1,1,0,1,1
457,AT1G19240,0,0,1,0,0,0,0
458,AT1G19250,1,0,1,1,1,1,1
459,AT1G19270,0,1,1,1,1,1,0
460,AT1G19300,0,1,1,1,1,1,1
461,AT1G19310,0,0,1,1,1,1,1
462,AT1G19320,0,1,1,1,1,1,1
463,AT1G19330,0,0,1,1,1,1,1
464,AT1G19360,0,0,1,1,1,0,1
465,AT1G19380,1,1,1,1,1,1,1
466,AT1G19394,0,0,0,1,0,0,0
467,AT1G19397,0,0,0,1,1,0,0
468,AT1G19490,0,0,0,1,0,0,0
469,AT1G19530,0,0,1,1,1,1,1
470,AT1G19540,0,0,0,1,0,0,0
471,AT1G19610,0,0,1,1,1,1,1
472,AT1G19660,0,0,0,1,0,0,0
473,AT1G19670,0,0,0,0,1,0,0
474,AT1G19770,1,1,1,1,1,1,1
475,AT1G19780,0,0,1,1,0,0,1
476,AT1G19940,0,0,0,0,0,1,0
477,AT1G19970,0,0,0,0,1,1,0
478,AT1G20120,0,0,0,1,0,0,0
479,AT1G20300,0,1,1,1,1,0,1
480,AT1G20310,1,1,1,1,1,1,1
481,AT1G20350,1,0,1,1,1,1,0
482,AT1G20400,0,0,0,1,0,0,0
483,AT1G20450,0,0,0,0,0,1,0
484,AT1G20460,0,0,1,1,1,0,0
485,AT1G20490,0,0,0,1,0,0,0
486,AT1G20510,1,1,1,1,1,1,1
487,AT1G20515,0,0,0,1,0,0,0
488,AT1G20575,0,0,0,1,0,0,0
489,AT1G20680,1,0,1,1,1,1,1
490,AT1G20740,0,0,1,1,0,0,0
491,AT1G20780,0,0,1,1,1,1,1
492,AT1G20823,1,1,1,1,1,1,1
493,AT1G20970,0,0,1,1,0,0,0
494,AT1G20990,0,0,0,0,1,0,0
495,AT1G21000,0,0,0,0,1,0,0
496,AT1G21010,1,1,1,1,1,1,1
497,AT1G21050,0,1,0,0,1,1,1
498,AT1G21060,0,0,1,0,0,0,0
499,AT1G21070,0,0,1,0,0,1,0
500,AT1G21080,0,0,1,1,1,1,0
501,AT1G21090,0,0,0,0,0,0,1
502,AT1G21100,1,1,1,1,1,1,1
503,AT1G21110,1,1,1,1,1,1,1
504,AT1G21120,1,1,1,1,1,1,1
505,AT1G21130,1,1,1,1,1,1,1
506,AT1G21140,0,0,0,1,1,0,1
507,AT1G21210,0,0,0,1,0,1,1
508,AT1G21230,0,0,0,1,0,1,1
509,AT1G21240,1,1,0,1,1,1,1
510,AT1G21245,1,1,1,1,1,1,1
511,AT1G21250,1,1,0,0,1,1,1
512,AT1G21310,0,0,0,1,0,0,1
513,AT1G21320,0,0,1,1,1,0,1
514,AT1G21326,1,1,1,1,1,1,1
515,AT1G21340,0,0,0,1,0,0,0
516,AT1G21370,0,0,1,1,0,0,0
517,AT1G21390,0,0,1,1,0,0,0
518,AT1G21400,0,0,0,1,1,1,1
519,AT1G21450,0,0,1,1,1,1,1
520,AT1G21520,0,0,1,0,1,1,1
521,AT1G21525,1,0,1,0,1,1,0
522,AT1G21550,1,1,1,1,1,1,1
523,AT1G21580,0,0,0,1,0,0,0
524,AT1G21590,0,0,1,1,1,0,1
525,AT1G21670,0,1,1,1,0,0,0
526,AT1G21750,0,0,1,1,0,0,1
527,AT1G21830,0,0,1,1,1,0,0
528,AT1G21860,0,0,0,1,0,0,0
529,AT1G21900,0,0,1,1,1,0,1
530,AT1G21910,1,1,1,1,1,1,1
531,AT1G22070,0,1,1,1,1,1,1
532,AT1G22180,0,0,1,1,1,1,1
533,AT1G22190,0,0,1,1,1,1,1
534,AT1G22200,0,0,0,1,0,0,0
535,AT1G22210,0,0,0,1,0,0,1
536,AT1G22240,1,0,1,0,1,0,1
537,AT1G22250,0,0,1,1,1,0,1
538,AT1G22260,0,0,0,0,1,0,0
539,AT1G22275,0,0,0,1,0,0,0
