,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g08930,0,0,0,0,0,0,1,0
At1g08940,0,0,0,0,1,0,1,1
At1g09070,1,1,0,0,0,0,1,1
At1g09080,0,0,0,0,0,0,1,0
At1g09140,0,0,0,1,0,0,0,0
At1g09180,0,1,1,0,1,0,0,1
At1g09240,0,0,0,0,0,0,0,1
At1g09250,0,0,0,0,0,0,1,1
At1g09320,0,0,0,1,0,0,0,0
At1g09350,1,0,0,0,1,1,1,1
At1g09500,0,0,0,0,1,0,0,0
At1g09520,0,0,0,1,1,0,0,0
At1g09530,0,0,0,0,1,1,0,0
At1g09575,1,0,0,0,0,0,0,1
At1g09660,0,0,0,1,0,0,0,0
At1g09670,0,0,0,1,0,0,0,0
At1g09815,0,0,1,0,0,0,1,0
At1g09940,0,0,0,0,0,0,1,1
At1g09950,1,1,0,0,0,0,0,1
At1g09960,0,1,0,0,0,1,0,0
At1g09970,0,0,0,0,1,0,1,1
At1g10020,0,0,0,1,0,0,0,0
At1g10050,0,0,0,1,1,0,1,0
At1g10080,0,1,0,0,1,1,0,1
At1g10090,0,1,0,0,1,1,0,1
At1g10110,0,0,0,0,0,0,1,0
At1g10140,0,0,0,0,0,0,1,0
At1g10170,0,0,0,1,0,0,1,0
At1g10230,0,0,0,1,0,0,0,0
At1g10240,0,0,0,1,0,0,0,0
At1g10260,0,0,0,1,0,0,0,0
At1g10270,0,0,0,0,0,0,1,0
At1g10340,0,0,0,0,0,0,1,1
At1g10370,0,0,0,0,0,0,0,1
At1g10380,0,0,0,1,0,0,0,0
At1g10410,0,0,0,0,1,0,0,1
At1g10470,1,0,0,0,0,0,0,0
At1g10560,0,1,0,0,1,1,0,0
At1g10585,0,0,0,0,0,0,0,1
At1g10640,0,0,0,0,0,1,0,0
At1g10700,0,1,0,0,0,0,1,0
At1g10770,0,0,0,0,0,0,0,1
At1g10970,0,0,0,1,0,0,0,0
At1g11050,0,1,0,0,1,0,1,0
At1g11100,0,0,0,1,0,0,0,0
At1g11210,1,1,0,0,1,1,1,1
At1g11260,0,0,1,0,0,0,0,0
At1g11300,0,0,0,0,1,0,1,0
At1g11330,0,0,0,0,1,0,1,0
At1g11390,0,0,0,0,0,0,0,1
At1g11560,0,0,0,1,0,0,0,0
At1g11580,0,1,0,0,0,0,0,1
At1g11600,0,0,0,0,0,1,0,0
At1g11660,0,0,0,1,0,0,0,0
At1g11670,0,0,0,0,0,0,0,1
At1g11710,0,0,0,0,0,0,1,0
At1g11840,0,1,0,0,0,0,0,0
At1g11960,1,1,0,0,1,0,0,1
At1g12010,0,0,1,0,0,0,0,0
At1g12190,0,0,0,1,0,0,0,0
At1g12200,0,0,0,0,0,0,1,0
At1g12240,0,0,0,0,0,0,0,1
At1g12290,0,0,0,1,0,0,0,0
At1g12370,0,0,0,0,0,0,1,0
At1g12480,0,1,0,0,0,1,0,0
At1g12610,1,1,0,0,1,0,0,1
At1g12710,0,0,0,1,0,0,0,0
At1g12750,0,1,0,0,0,0,1,0
At1g12845,0,0,0,0,0,1,0,0
At1g12880,0,0,0,0,0,0,1,0
At1g12990,0,1,1,0,0,0,0,0
At1g13000,0,0,0,0,0,0,1,0
At1g13080,0,0,0,1,0,0,0,0
At1g13195,0,0,0,1,0,0,0,0
At1g13210,0,0,0,0,1,0,1,1
At1g13260,1,0,0,0,0,0,0,0
At1g13280,0,1,0,0,0,0,0,0
At1g13310,0,0,0,0,0,0,1,0
At1g13330,0,0,1,0,0,0,0,0
At1g13340,0,0,0,0,0,0,1,1
At1g13470,0,0,0,0,0,0,1,0
At1g13560,0,0,0,0,0,0,0,1
At1g13640,0,0,0,1,0,0,0,0
At1g13650,1,0,0,0,0,0,0,0
At1g13670,0,0,0,0,0,0,1,0
At1g13690,0,0,0,1,0,0,0,0
At1g13740,0,1,0,0,1,1,1,0
At1g13750,0,0,0,0,1,0,0,0
At1g13790,0,0,0,1,0,0,0,0
At1g13990,0,1,0,0,1,0,0,0
At1g14040,0,0,0,0,0,0,1,0
At1g14050,0,0,0,0,0,0,1,0
At1g14070,0,0,0,0,0,0,1,0
At1g14090,0,0,0,1,0,0,0,0
At1g14130,0,0,0,0,0,0,0,1
At1g14200,0,0,0,1,0,0,0,0
At1g14240,0,1,0,0,0,0,0,0
At1g14250,0,1,0,0,0,0,0,1
At1g14300,0,0,0,1,0,0,0,0
At1g14360,0,0,0,1,0,0,0,0
At1g14370,0,0,0,0,1,0,1,1
At1g14480,0,1,0,0,1,0,1,1
At1g14530,0,0,0,0,1,0,0,0
At1g14540,0,0,0,0,0,0,1,1
At1g14740,0,0,0,1,0,0,0,0
At1g14780,0,0,0,0,0,0,0,1
At1g14870,0,0,0,0,0,0,1,0
At1g14920,0,0,1,0,0,0,0,0
At1g14970,0,0,0,1,0,0,0,0
At1g14980,0,0,0,1,0,0,0,0
At1g15010,1,0,0,0,1,0,1,1
At1g15100,0,0,0,0,1,0,1,0
At1g15230,0,0,0,1,0,0,0,0
At1g15410,0,0,0,1,0,0,0,0
At1g15425,0,0,0,1,0,0,0,0
At1g15430,0,1,0,0,0,0,1,1
At1g15440,0,0,0,0,0,0,1,0
At1g15520,0,0,0,0,1,0,1,0
At1g15550,1,0,0,1,0,0,0,0
At1g15580,0,1,1,1,0,0,0,1
At1g15790,0,0,0,0,0,0,1,0
At1g15800,0,0,0,0,0,0,1,0
At1g15830,0,0,0,1,0,0,0,0
At1g15860,0,0,0,1,0,0,0,0
At1g15890,0,0,0,0,0,0,1,0
At1g16030,0,0,0,1,0,0,0,0
At1g16040,0,0,0,1,0,0,0,0
At1g16050,0,0,0,1,0,0,0,0
At1g16090,1,0,0,0,0,0,1,0
At1g16130,0,0,0,0,0,0,1,1
At1g16280,0,0,0,1,0,0,0,0
At1g16370,0,0,0,0,0,0,0,1
At1g16410,0,1,0,0,0,0,0,0
At1g16420,0,0,0,0,0,0,1,0
At1g16540,0,0,0,0,0,0,1,0
At1g16640,0,0,0,0,0,0,1,0
At1g16670,0,0,0,0,0,0,1,1
At1g16705,0,0,0,1,0,0,0,0
